Wann;Uhrzeit;TimeAdd;Was
28.03.2021;02:00;+01:00;Sommerzeit (Beginn)
31.10.2021;02:00;+02:00;Sommerzeit (Ende)
27.03.2022;02:00;+01:00;Sommerzeit (Beginn)
30.10.2022;02:00;+02:00;Sommerzeit (Ende)
26.03.2023;02:00;+01:00;Sommerzeit (Beginn)
29.10.2023;02:00;+02:00;Sommerzeit (Ende)
31.03.2024;02:00;+01:00;Sommerzeit (Beginn)
27.10.2024;02:00;+02:00;Sommerzeit (Ende)
30.03.2025;02:00;+01:00;Sommerzeit (Beginn)
26.10.2025;02:00;+02:00;Sommerzeit (Ende)
29.03.2026;02:00;+01:00;Sommerzeit (Beginn)
25.10.2026;02:00;+02:00;Sommerzeit (Ende)
28.03.2027;02:00;+01:00;Sommerzeit (Beginn)
31.10.2027;02:00;+02:00;Sommerzeit (Ende)
26.03.2028;02:00;+01:00;Sommerzeit (Beginn)
29.10.2028;02:00;+02:00;Sommerzeit (Ende)
25.03.2029;02:00;+01:00;Sommerzeit (Beginn)
28.10.2029;02:00;+02:00;Sommerzeit (Ende)
31.03.2030;02:00;+01:00;Sommerzeit (Beginn)
27.10.2030;02:00;+02:00;Sommerzeit (Ende)
30.03.2031;02:00;+01:00;Sommerzeit (Beginn)
26.10.2031;02:00;+02:00;Sommerzeit (Ende)
