Wann;Uhrzeit;TimeAdd;Was
28.03.2021;03:00;+02:00;Sommerzeit (Beginn)
31.10.2021;03:00;+01:00;Sommerzeit (Ende)
27.03.2022;03:00;+02:00;Sommerzeit (Beginn)
30.10.2022;03:00;+01:00;Sommerzeit (Ende)
26.03.2023;03:00;+02:00;Sommerzeit (Beginn)
29.10.2023;03:00;+01:00;Sommerzeit (Ende)
31.03.2024;03:00;+02:00;Sommerzeit (Beginn)
27.10.2024;03:00;+01:00;Sommerzeit (Ende)
30.03.2025;03:00;+02:00;Sommerzeit (Beginn)
26.10.2025;03:00;+01:00;Sommerzeit (Ende)
29.03.2026;03:00;+02:00;Sommerzeit (Beginn)
25.10.2026;03:00;+01:00;Sommerzeit (Ende)
28.03.2027;03:00;+02:00;Sommerzeit (Beginn)
31.10.2027;03:00;+01:00;Sommerzeit (Ende)
26.03.2028;03:00;+02:00;Sommerzeit (Beginn)
29.10.2028;03:00;+01:00;Sommerzeit (Ende)
25.03.2029;03:00;+02:00;Sommerzeit (Beginn)
28.10.2029;03:00;+01:00;Sommerzeit (Ende)
31.03.2030;03:00;+02:00;Sommerzeit (Beginn)
27.10.2030;03:00;+01:00;Sommerzeit (Ende)
30.03.2031;03:00;+02:00;Sommerzeit (Beginn)
26.10.2031;03:00;+01:00;Sommerzeit (Ende)
